epoch,out_0,out_1,step,train_loss
0,3.2306227240042062e-06,0.9977141618728638,1,5.2250561566324905e-06
1,-0.10184795409440994,0.9983269572257996,3,2.7990720354864607e-06
2,0.02837594971060753,0.9982565641403198,5,3.039568582607899e-06
3,0.08583637326955795,0.9981383681297302,7,3.465673216851428e-06
4,0.013877538964152336,0.9979807138442993,9,4.077516678080428e-06
5,-0.024409765377640724,0.9977850914001465,11,4.9058198783313856e-06
6,-0.038769762963056564,0.9975329637527466,13,6.086268058425048e-06
7,-0.03996192291378975,0.9972052574157715,15,7.810585884726606e-06
8,-0.03500911965966225,0.9967837929725647,17,1.0343987923988607e-05
9,-0.027952687814831734,0.9962530732154846,19,1.4039460438652895e-05
10,-0.02075880952179432,0.9956018328666687,21,1.934387364599388e-05
11,-0.014228071086108685,0.9948228597640991,23,2.6802781576407142e-05
12,-0.008621451444923878,0.9939191937446594,25,3.697620559250936e-05
13,-0.00398264592513442,0.9929183721542358,27,5.01494541822467e-05
14,-0.0002725471858866513,0.9918939471244812,29,6.570809637196362e-05
15,0.0025810650549829006,0.9909712076187134,31,8.151909423759207e-05
16,0.004664214793592691,0.9903006553649902,33,9.407728794030845e-05
17,0.006066331174224615,0.9899998903274536,35,0.000100002194812987
18,0.006872852798551321,0.9900929927825928,37,9.814879012992606e-05
19,0.0071617909707129,0.9905033707618713,39,9.018596756504849e-05
20,0.007006182335317135,0.9911020994186401,41,7.917263428680599e-05
21,0.00648015970364213,0.9917680025100708,43,6.776578084100038e-05
22,0.005664187483489513,0.992418646812439,45,5.747691466240212e-05
23,0.004645197652280331,0.9930105209350586,47,4.885281668975949e-05
24,0.003512440249323845,0.9935280084609985,49,4.1886672988766804e-05
25,0.0023507424630224705,0.9939706325531006,51,3.635327084339224e-05
26,0.001234529074281454,0.9943448305130005,53,3.198094054823741e-05
27,0.00022363157768268138,0.9946596622467041,55,2.8519207262434065e-05
28,-0.0006383366417139769,0.9949241280555725,57,2.5764475140022114e-05
29,-0.0013236674712970853,0.9951462149620056,59,2.3559228793601505e-05
30,-0.0018191096605733037,0.9953330755233765,61,2.1780184397357516e-05
31,-0.0021238401532173157,0.9954908490180969,63,2.0332443455117755e-05
32,-0.0022473500575870275,0.9956247210502625,65,1.9143066310789436e-05
33,-0.002207590267062187,0.9957391619682312,67,1.8154740246245638e-05
34,-0.0020292256958782673,0.9958378672599792,69,1.732334931148216e-05
35,-0.0017420512158423662,0.9959238767623901,71,1.661478017922491e-05
36,-0.0013793023535981774,0.9959999918937683,73,1.600006544322241e-05
37,-0.0009758573723956943,0.9960683584213257,75,1.5457804693141952e-05
